H2S,CO2,N2,C1,C2,C3,C4,C5,C6,C7+,MW7+,T(F),MW5+,Vol,Int,MMP(psi)
1,0.19,4.11,5.88,3.39,7.19,6.92,8.17,4.23,58.92,196,171,175,9.99,18.69,2100
9.1,6.67,3.45,2.56,4.11,5.67,6.22,7.1,3.2,51.92,208,178,186,6.01,31.77,2311
0.001,1.52,16.44,5.29,0.01,7.1,6.22,4.51,5.21,53.7,208,169,188,21.73,14.851,2099
0.001,3.31,0.61,11.07,3.23,3.94,0.28,4.11,7.3,66.15,231,200,209,11.68,10.761,2731
0.001,0.67,3.78,5.95,4.46,5.3,5.9,2.13,4.66,67.15,222,90,209,9.73,16.331,1215
0.001,0.91,12.67,5.9,3.71,15.5,6.99,2.18,4.11,48.03,203,93,189,18.57,27.111,1215
12.78,10.02,4.23,4.7,1.77,4.67,8.32,1.51,4.67,47.33,211,100,196,8.93,37.56,1297
0.01,0.07,0.32,9.23,8.12,4.29,4.89,3.67,3.89,65.51,240,81,223,9.55,17.38,1167
1,0.19,4.11,5.88,3.39,7.19,6.92,6.9,3.3,61.12,244,107,220,9.99,18.69,1470
0.001,1.19,3.78,6.04,4.46,5.3,5.9,1.16,5.45,66.79,219,178,207,9.82,16.851,2366
0.001,0.245,0.338,4.07,3.11,4.9,5.7,0.93,7.1,73.61,197,192,186,4.408,13.956,2401
0.001,6,0.92,31,8.68,7.3,4.9,2.01,4.33,34.86,207,97,188,31.92,26.881,1217
2.9,2.78,0.69,29,8.15,5,3.8,3.61,2.1,41.97,278,198,254,29.69,22.63,3196
1.37,0.82,0.57,25.13,10.15,7,4.3,2.9,3.7,44.06,199,165,183,25.7,23.64,2103
0.01,2.39,0.15,23.45,5.37,5.4,3.9,0.41,7.31,51.62,245,182,224,23.6,17.07,2534
0.01,0.55,0.54,15.94,7.48,5.8,3.2,1.16,6,59.35,209,81,196,16.48,17.04,1101
2.8,3.17,0.47,29,8.75,4.9,3,0.25,6.54,41.12,198,112,182,29.47,22.62,1477
0.01,0.31,0.31,16.23,5.95,3.5,7.9,2.13,7.47,56.2,234,172,212,16.54,17.67,2409
1.05,2.78,3.67,22.81,3.93,18.4,3.6,3.45,8.11,32.2,201,203,170,26.48,29.76,2527
0.01,7.23,0.25,32.87,9.38,9,5.1,0.72,15.6,19.85,265,90,184,33.12,30.72,1395
0.01,1.86,0.39,34.8,10.39,9.2,5.9,2.69,5.19,54.1,222,109,204,35.19,27.36,1500
0.001,0.06,0.001,0.37,0.37,0.86,2.2,3.42,5.46,87.26,278,250,260,0.371,3.491,3144
0.001,0.48,0.11,16.3,4.03,2.97,3.65,3.73,3.32,65.41,227,94,213,16.41,11.131,1450
0.001,0.84,0.34,49.23,6.32,4.46,7.33,21.47,2.06,31.45,230,147,163,49.57,18.951,2012
0.001,0.001,0.001,52,3.81,2.37,7.33,21.47,2.06,36.84,199,189,150,52.001,13.512,2656
0.001,2.44,0.08,82.1,5.78,2.87,1.79,1.12,0.72,4.28,138,162,120,82.18,12.881,2318
0.001,0.27,0.25,25.48,6.96,6.22,4.9,4.33,3.89,55.05,285,169,258,25.73,18.351,2900
0.001,0.001,0.54,0.3,33.66,8.14,4.11,5.08,4.41,37.91,260,195,224,0.84,45.912,2750
2.37,5.78,0.12,27.25,9.51,8.14,5.05,3.85,3.23,34.7,237,187,210,27.37,30.85,3315
0.001,1.46,0.51,17.1,8.01,3.97,2.9,0.93,7.2,57.93,240,88,221,17.61,16.341,1517
0.001,1.97,2.31,14.89,7.31,9.43,4.21,6.9,3.3,49.68,240,100,212,17.2,22.921,1599
